rid,road_level,ori,des,lnglat_seq,parents,children
0VB3307KF700VB2T07KFO00,45000,,0VB2T07KFO0,"102.717103,25.034284;102.717189,25.034563;102.717208,25.034645;102.717215,25.034682;102.717311,25.035089;102.717323,25.035215;102.717317,25.035314;102.717243,25.035757;102.717219,25.035818;102.717162,25.035902;102.717159,25.035907;102.717154,25.035914;102.717115,25.035967;102.717106,25.03598;102.717101,25.035988;102.716778,25.035985;102.716747,25.035985;102.716716,25.035986;102.716676,25.035991;102.71653,25.036011","['0VB2T07KFO00VB2Q07KGD00', '0VB2T07KFO00VB3407KFL00', '0VB2T07KFO00VB3107KEU00', '0VB2T07KFO00VB2G07KFO00']",[]
0VBAB07KI700VBB207KHU00,44000,0VBAB07KI70,,"102.740488,25.043838;102.740804,25.043832;102.740937,25.043829;102.741143,25.043825;102.74137,25.043817;102.741534,25.043797;102.741679,25.043771;102.741689,25.043768;102.74187,25.043721;102.741914,25.04371;102.742031,25.043648;102.742109,25.043593;102.742202,25.043505;102.742238,25.043464;102.742287,25.043407;102.742599,25.043049",[],"['0VBAD07KIJ00VBAB07KI700', '0VB9S07KI600VBAB07KI700', '0VBAD07KIN00VBAB07KI700', '0VBAB07KI400VBAB07KI700', '0VBB307KHV00VBAB07KI700']"
0VB5O07KJF00VB5O07KJ400,44000,,0VB5O07KJ40,"102.725587,25.048031;102.725576,25.047708;102.725565,25.047347;102.725543,25.046963;102.725539,25.046906;102.725537,25.046855","['0VB5O07KJ400VB5707KJ400', '0VB5O07KJ400VB5N07KHV00', '0VB5O07KJ400VB6T07KJ600', '0VB5O07KJ400VB6B07KK400']",[]
0VBAP07KFU00VBBD07KFJ00,44000,0VBAP07KFU0,,"102.741703,25.036553;102.741934,25.036422;102.742281,25.036281;102.742457,25.03619;102.743008,25.035936;102.743444,25.035702;102.743843,25.035482",[],"['0VBA107KGF00VBAP07KFU00', '0VBAN07KFS00VBAP07KFU00', '0VBAM07KFT00VBAP07KFU00']"
0VB4P07KGF00VB4Q07KGE00,45000,,0VB4Q07KGE0,"102.722551,25.038334;102.722562,25.03823","['0VB4Q07KGE00VB4P07KGF00', '0VB4Q07KGE00VB4Q07KGG00', '0VB4Q07KGE00VB4J07KGE00']",[]
0VB6H07KI110VB7807KI400,44000,0VB6H07KI11,0VB7807KI40,"102.728138,25.04335;102.728162,25.043352;102.728941,25.043433;102.72996,25.043544;102.730412,25.043594","['0VB7807KI400VB7J07KI500', '0VB7807KI400VB7807KI100']",['0VB6D07KI100VB6H07KI110']
0VB8H07KGF00VB7U07KI700,44000,0VB8H07KGF0,0VB7U07KI70,"102.734519,25.0384;102.73446,25.038615;102.734436,25.038693;102.734108,25.039708;102.733912,25.040256;102.733835,25.040477;102.733706,25.040872;102.733491,25.041523;102.733479,25.041562;102.733464,25.041613;102.733224,25.042366;102.733027,25.042942;102.732995,25.043047;102.732938,25.043216;102.732873,25.043405;102.732746,25.043809","['0VB7U07KI700VB9907KI600', '0VB7U07KI700VB7U07KI100', '0VB7U07KI700VB7807KI500', '0VB7U07KI700VB7F07KJ200', '0VB7U07KI700VB8607KHG00']","['0VB8H07KG600VB8H07KGF00', '0VB8207KGF00VB8H07KGF00', '0VB8607KHG00VB8H07KGF00', '0VB9N07KGH00VB8H07KGF00']"
0VBA107KGF00VBAP07KFU00,44000,,0VBAP07KFU0,"102.739268,25.038296;102.739407,25.038253;102.739574,25.03817;102.739716,25.038069;102.739948,25.03787;102.740025,25.037792;102.740163,25.037648;102.740294,25.03752;102.740439,25.037382;102.740599,25.037234;102.740776,25.037111;102.740984,25.036966;102.741269,25.036799;102.741381,25.03674;102.741505,25.036661;102.741703,25.036553","['0VBAP07KFU00VBBD07KFJ00', '0VBAP07KFU00VBAN07KFS00']",[]
0VB7307KI500VB6H07KI100,44000,,0VB6H07KI10,"102.729951,25.043653;102.72894,25.043538;102.72813,25.043449","['0VB6H07KI100VB6D07KI110', '0VB6H07KI100VB6E07KI100', '0VB6H07KI100VB6H07KI600', '0VB6H07KI100VB7807KI400']",[]
0VB3P07KJU00VB2A07KK200,44000,0VB3P07KJU0,0VB2A07KK20,"102.719383,25.049508;102.719185,25.049541;102.719098,25.049544;102.71893,25.049552;102.718736,25.049554;102.717238,25.049584;102.716933,25.049601;102.716321,25.049656;102.715844,25.049702;102.71551,25.049736;102.714721,25.049815","['0VB2A07KK200VB3P07KJU00', '0VB2A07KK200VB0P07KK700', '0VB2A07KK200VB2D07KJE00', '0VB2A07KK200VB2J07KK300', '0VB2A07KK200VB2C07KKD00']","['0VB2A07KK200VB3P07KJU00', '0VB4507KJU00VB3P07KJU00', '0VB4507KJU00VB3P07KJU01', '0VB2A07KK300VB3P07KJU00', '0VB3R07KIT00VB3P07KJU00', '0VB3L07KJU00VB3P07KJU00', '0VB3P07KKH00VB3P07KJU00']"
0VBAN07KFS00VBAP07KFU00,47000,,0VBAP07KFU0,"102.741548,25.036395;102.741703,25.036553","['0VBAP07KFU00VBBD07KFJ00', '0VBAP07KFU00VBAN07KFS00']",[]
0VB2T07KFO00VB2Q07KGD00,44000,0VB2T07KFO0,0VB2Q07KGD0,"102.71653,25.036011;102.716427,25.036791;102.716341,25.037471;102.71627,25.037946;102.71626,25.038012","['0VB2Q07KGD00VAVC07KG700', '0VB2Q07KGD00VB3107KG110', '0VB2Q07KGD00VB3N07KGD00', '0VB2Q07KGD00VB2R07KFU00', '0VB2Q07KGD00VB3K07KGD00', '0VB2Q07KGD00VB2N07KH200']","['0VB3307KF700VB2T07KFO00', '0VB2G07KFO00VB2T07KFO00', '0VB3007KF700VB2T07KFO00', '0VB2R07KFU00VB2T07KFO00']"
0VB3T07KGD00VB3T07KGU00,44000,0VB3T07KGD0,,"102.719805,25.03819;102.7198,25.038295;102.719792,25.03842;102.719773,25.038719;102.71975,25.039091;102.719714,25.039717;102.719711,25.039768",[],"['0VB3K07KGD00VB3T07KGD00', '0VB3N07KGD00VB3T07KGD00', '0VB3R07KHP00VB3T07KGD00', '0VB4J07KGE00VB3T07KGD00', '0VB3V07KFJ00VB3T07KGD00']"
0VB3T07KGD00VB3K07KGD00,44000,0VB3T07KGD0,,"102.719667,25.038187;102.71956,25.03818;102.719379,25.038169;102.718848,25.038141",[],"['0VB3K07KGD00VB3T07KGD00', '0VB3N07KGD00VB3T07KGD00', '0VB3R07KHP00VB3T07KGD00', '0VB4J07KGE00VB3T07KGD00', '0VB3V07KFJ00VB3T07KGD00']"
0VB6H07KI100VB6E07KI100,44000,0VB6H07KI10,,"102.72813,25.043449;102.727776,25.043404",[],"['0VB7307KI500VB6H07KI100', '0VB6H07KI600VB6H07KI100', '0VB6D07KI100VB6H07KI100']"
0VB1A07KHK00VB1B07KHH00,47000,0VB1A07KHK0,,"102.711361,25.041994;102.711498,25.041808;102.711546,25.041767",[],"['0VB0Q07KHI00VB1A07KHK00', '0VB1B07KHH00VB1A07KHK00', '0VB1A07KH800VB1A07KHK00']"
0VB5O07KJ400VB5N07KHV00,44000,0VB5O07KJ40,0VB5N07KHV0,"102.725535,25.0468;102.725531,25.046572;102.725527,25.045419;102.725527,25.04536;102.725524,25.044051;102.725519,25.043784;102.725516,25.043679;102.725497,25.043144","['0VB5N07KHV00VB6107KI000', '0VB5N07KHV00VB5N07KH000', '0VB5N07KHV00VB4N07KHR00', '0VB5N07KHV00VB5O07KJ400', '0VB5N07KHV00VB6D07KI100']","['0VB5O07KJF00VB5O07KJ400', '0VB5707KJ400VB5O07KJ400', '0VB5N07KHV00VB5O07KJ400', '0VB7407KJC00VB5O07KJ400']"
0VB3K07KGD00VB3T07KGD00,44000,,0VB3T07KGD0,"102.718831,25.038045;102.719387,25.03806;102.719675,25.03806","['0VB3T07KGD00VB3V07KF000', '0VB3T07KGD00VB3T07KGU00', '0VB3T07KGD00VB3K07KGD00', '0VB3T07KGD00VB4J07KGD00', '0VB3T07KGD00VB4V07KGD00', '0VB3T07KGD00VB3T07KGT00', '0VB3T07KGD00VB3N07KGD00']",[]
0VB3T07KH000VB3R07KHP00,44000,,0VB3R07KHP0,"102.719706,25.039966;102.719676,25.040591;102.719667,25.041225;102.719628,25.042203;102.719627,25.04244","['0VB3R07KHP00VB3S07KI600', '0VB3R07KHP00VB3B07KHP00', '0VB3R07KHP00VB4R07KHQ00', '0VB3R07KHP00VB3T07KGD00']",[]
0VB2T07KFO00VB3407KFL00,45000,0VB2T07KFO0,,"102.716536,25.035966;102.716673,25.035964;102.716714,25.03596;102.716746,25.035958;102.716779,25.035958;102.717115,25.035967;102.717154,25.035914;102.717159,25.035907;102.717162,25.035902;102.717219,25.035818;102.717243,25.035757",[],"['0VB3307KF700VB2T07KFO00', '0VB2G07KFO00VB2T07KFO00', '0VB3007KF700VB2T07KFO00', '0VB2R07KFU00VB2T07KFO00']"
0VB3V07KF000VB3V07KFJ00,44000,0VB3V07KF00,,"102.719967,25.033604;102.719966,25.033663;102.719959,25.033981;102.71993,25.03494;102.719905,25.035485",[],"['0VB3T07KGD00VB3V07KF000', '0VB3707KEU00VB3V07KF000', '0VB4407KDN00VB3V07KF000', '0VB4607KF000VB3V07KF000', '0VB4S07KF000VB3V07KF000']"
0VB9N07KGG00VBA107KGF00,44000,0VB9N07KGG0,,"102.738352,25.038361;102.738842,25.03837;102.73903,25.038351;102.739122,25.038334;102.739268,25.038296",[],"['0VB9T07KFJ00VB9N07KGG00', '0VB9507KGF00VB9N07KGG00']"
0VB4S07KET00VB4S07KEV00,47000,,0VB4S07KEV0,"102.722849,25.033348;102.722803,25.033528","['0VB4S07KEV00VB5G07KF000', '0VB4S07KEV00VB4S07KET00', '0VB4S07KEV00VB5G07KEV00']",[]
0VB6D07KI100VB6H07KI110,44000,,0VB6H07KI11,"102.727721,25.043304;102.728138,25.04335",['0VB6H07KI110VB7807KI400'],[]
0VB7807KI400VB7807KI100,45000,0VB7807KI40,,"102.730412,25.043594;102.730447,25.043424",[],"['0VB6I07KI100VB7807KI400', '0VB6H07KI110VB7807KI400', '0VB7907KI100VB7807KI400', '0VB6H07KI100VB7807KI400']"
0VB5N07KHV00VB5N07KH000,44000,0VB5N07KHV0,,"102.725496,25.043041;102.725504,25.042897;102.7255,25.042417;102.7255,25.041995;102.7255,25.041841;102.725503,25.041268;102.725509,25.039985;102.72551,25.039972;102.725508,25.039959",[],"['0VB5307KHS00VB5N07KHV00', '0VB5N07KGE00VB5N07KHV00', '0VB6E07KI100VB5N07KHV00', '0VB5O07KJ400VB5N07KHV00', '0VB6107KI000VB5N07KHV00', '0VB4R07KHQ00VB5N07KHV00', '0VB6D07KI110VB5N07KHV00']"
0VB2G07KFO00VB2T07KFO00,45000,,0VB2T07KFO0,"102.715157,25.035989;102.715287,25.035946;102.715793,25.035948;102.716458,25.035958","['0VB2T07KFO00VB2Q07KGD00', '0VB2T07KFO00VB3407KFL00', '0VB2T07KFO00VB3107KEU00', '0VB2T07KFO00VB2G07KFO00']",[]
0VB4K07KJT00VB4Q07KJU00,44000,,0VB4Q07KJU0,"102.721963,25.049326;102.722033,25.049326;102.722152,25.049328;102.722255,25.049338;102.722337,25.049352;102.722429,25.049373;102.722511,25.049391;102.722594,25.049416","['0VB4Q07KJU00VB4S07KJS00', '0VB4Q07KJU00VB4U07KK000', '0VB4Q07KJU00VB4507KJU00', '0VB4Q07KJU00VB4U07KK001']",[]
0VB2T07KFO00VB3107KEU00,44000,0VB2T07KFO0,,"102.716458,25.035958;102.716587,25.035187;102.716614,25.034994;102.716701,25.034353;102.716708,25.034299;102.716749,25.033997;102.716807,25.033509",[],"['0VB3307KF700VB2T07KFO00', '0VB2G07KFO00VB2T07KFO00', '0VB3007KF700VB2T07KFO00', '0VB2R07KFU00VB2T07KFO00']"
0VB1A07KHN00VB1A07KHL00,47000,,0VB1A07KHL0,"102.711361,25.042271;102.711354,25.042085","['0VB1A07KHL00VB1A07KHN00', '0VB1A07KHL00VB0Q07KHI00']",[]
0VB3007KF700VB2T07KFO00,44000,,0VB2T07KFO0,"102.716798,25.0343;102.716664,25.035192;102.716536,25.035966","['0VB2T07KFO00VB2Q07KGD00', '0VB2T07KFO00VB3407KFL00', '0VB2T07KFO00VB3107KEU00', '0VB2T07KFO00VB2G07KFO00']",[]
0VB7H07KGG00VB7407KGF00,44000,,0VB7407KGF0,"102.731376,25.038363;102.730973,25.038358;102.730451,25.03835;102.729834,25.038336","['0VB7407KGF00VB7407KGD00', '0VB7407KGF00VB6D07KGF00', '0VB7407KGF00VB7207KGG00', '0VB7407KGF00VB8207KGF00']",[]
0VBAN07KFS00VBAQ07KFU00,47000,,0VBAQ07KFU0,"102.741548,25.036395;102.741809,25.036631","['0VBAQ07KFU00VBBH07KGC00', '0VBAQ07KFU00VBA007KGG00', '0VBAQ07KFU00VBAN07KFS00', '0VBAQ07KFU00VBBD07KFJ00']",[]
0VB4507KD800VB4507KDD00,44000,0VB4507KD80,,"102.720522,25.028064;102.720515,25.028129;102.720479,25.028487",[],"['0VB4607KD800VB4507KD800', '0VB3V07KF000VB4507KD800', '0VB4507KD600VB4507KD800']"
0VB6B07KK400VB5L07KKN00,44000,0VB6B07KK40,,"102.727473,25.05004;102.726961,25.050517;102.726907,25.050562;102.726763,25.050684;102.726631,25.050795;102.726048,25.051314;102.725671,25.051663;102.725376,25.051942",[],"['0VB5L07KKN00VB6B07KK400', '0VB7E07KL300VB6B07KK400', '0VB5O07KJ400VB6B07KK400', '0VB7407KJC00VB6B07KK400']"
0VAVE07KGI00VAVC07KG700,45000,,0VAVC07KG70,"102.70543,25.038553;102.705408,25.038459;102.705411,25.038057;102.705398,25.037959;102.705374,25.037885;102.70527,25.037682;102.705205,25.037576","['0VAVC07KG700VAV507KG100', '0VAVC07KG700VAUD07KH200', '0VAVC07KG700VAVE07KGI00', '0VAVC07KG700VB2D07KGC00']",[]
0VB2Q07KGD00VB2R07KFU00,44000,0VB2Q07KGD0,,"102.716182,25.038006;102.716194,25.037913;102.716307,25.037042;102.716368,25.036598",[],"['0VB2N07KH200VB2Q07KGD00', '0VB2T07KFO00VB2Q07KGD00', '0VB3N07KGD00VB2Q07KGD00', '0VB3K07KGD00VB2Q07KGD00', '0VB2D07KGC00VB2Q07KGD00']"
0VB5307KH200VB4R07KHQ00,45000,,0VB4R07KHQ0,"102.723517,25.040248;102.72352,25.040455;102.723521,25.040508;102.723518,25.040686;102.723517,25.040794;102.723512,25.040965;102.723507,25.041161;102.7235,25.041191;102.723493,25.041215;102.723481,25.041233;102.723472,25.041245;102.723455,25.041261;102.723428,25.041277;102.723395,25.041286;102.723361,25.041287;102.722764,25.041276;102.722728,25.041294;102.72271,25.041334;102.722713,25.041537;102.722718,25.041812;102.722715,25.042133;102.722698,25.042637","['0VB4R07KHQ00VB4T07KHR00', '0VB4R07KHQ00VB5N07KHV00', '0VB4R07KHQ00VB5307KH200']",[]
0VB3N07KGD00VB3T07KGD00,44000,,0VB3T07KGD0,"102.718831,25.038045;102.719387,25.03806;102.719675,25.03806","['0VB3T07KGD00VB3V07KF000', '0VB3T07KGD00VB3T07KGU00', '0VB3T07KGD00VB3K07KGD00', '0VB3T07KGD00VB4J07KGD00', '0VB3T07KGD00VB4V07KGD00', '0VB3T07KGD00VB3T07KGT00', '0VB3T07KGD00VB3N07KGD00']",[]
0VB8C07KI800VB7U07KI701,47000,,0VB7U07KI70,"102.733985,25.044021;102.732785,25.04402;102.732667,25.043951","['0VB7U07KI700VB9907KI600', '0VB7U07KI700VB7U07KI100', '0VB7U07KI700VB7807KI500', '0VB7U07KI700VB7F07KJ200', '0VB7U07KI700VB8607KHG00']",[]
0VB3V07KF000VB4S07KEV00,44000,0VB3V07KF00,0VB4S07KEV0,"102.719967,25.033512;102.720063,25.033513;102.720673,25.033517;102.720999,25.03352;102.721177,25.033521;102.722011,25.033527;102.722441,25.033527;102.722803,25.033528","['0VB4S07KEV00VB5G07KF000', '0VB4S07KEV00VB4S07KET00', '0VB4S07KEV00VB5G07KEV00']","['0VB3T07KGD00VB3V07KF000', '0VB3707KEU00VB3V07KF000', '0VB4407KDN00VB3V07KF000', '0VB4607KF000VB3V07KF000', '0VB4S07KF000VB3V07KF000']"
0VB3R07KHP00VB3S07KI600,44000,0VB3R07KHP0,,"102.719627,25.042576;102.719606,25.042991;102.719584,25.043329;102.719565,25.04384",[],"['0VB3T07KH000VB3R07KHP00', '0VB4L07KHR00VB3R07KHP00', '0VB3P07KI700VB3R07KHP00', '0VB4K07KHR00VB3R07KHP00', '0VB2K07KHN00VB3R07KHP00']"
0VB4Q07KJU00VB4S07KJS00,45000,0VB4Q07KJU0,,"102.722642,25.049374;102.722783,25.049255",[],"['0VB4K07KJT00VB4Q07KJU01', '0VB4K07KJT00VB4Q07KJU00', '0VB4U07KK000VB4Q07KJU00']"
0VB7407KJC00VB7H07KIT00,44000,0VB7407KJC0,,"102.730113,25.04754;102.730348,25.047316;102.730525,25.047148;102.730566,25.047103;102.730858,25.046781;102.730978,25.046626;102.731208,25.046265;102.731306,25.046084",[],"['0VB6T07KJ600VB7407KJC00', '0VB6B07KK400VB7407KJC00', '0VB7B07KJ800VB7407KJC00', '0VB8T07KKJ00VB7407KJC00']"
0VBA007KGG00VB9N07KGH00,44000,0VBA007KGG0,0VB9N07KGH0,"102.739213,25.038406;102.739128,25.038423;102.739055,25.038439;102.73888,25.038456;102.738398,25.038451;102.738344,25.03845",['0VB9N07KGH00VB8H07KGF00'],"['0VBAR07KFV00VBA007KGG00', '0VBA707KGG00VBA007KGG00', '0VBAQ07KFU00VBA007KGG00', '0VB9907KI600VBA007KGG00']"
0VB4Q07KGE00VB4J07KGE00,44000,0VB4Q07KGE0,,"102.722562,25.03823;102.721911,25.038215",[],"['0VB4P07KGF00VB4Q07KGE00', '0VB4Q07KGG00VB4Q07KGE00', '0VB5307KGE00VB4Q07KGE00']"
0VB3R07KHP00VB3B07KHP00,44000,0VB3R07KHP0,,"102.719461,25.042574;102.719098,25.042563;102.717947,25.042521",[],"['0VB3T07KH000VB3R07KHP00', '0VB4L07KHR00VB3R07KHP00', '0VB3P07KI700VB3R07KHP00', '0VB4K07KHR00VB3R07KHP00', '0VB2K07KHN00VB3R07KHP00']"
0VB2A07KK300VB2D07KJE00,44000,,0VB2D07KJE0,"102.714635,25.049763;102.714629,25.049649;102.714633,25.049585;102.71464,25.049519;102.714693,25.04916;102.714775,25.048599;102.714864,25.047932","['0VB2D07KJE00VB2D07KJ900', '0VB2D07KJE00VB2C07KJM10', '0VB2D07KJE00VB2A07KJE00']",[]
0VB3N07KGD00VB2Q07KGD00,44000,,0VB2Q07KGD0,"102.719299,25.038165;102.718841,25.03814;102.718285,25.038133;102.717611,25.038123;102.717134,25.038117;102.716807,25.038115;102.716788,25.038115;102.716593,25.038114;102.716248,25.038105","['0VB2Q07KGD00VAVC07KG700', '0VB2Q07KGD00VB3107KG110', '0VB2Q07KGD00VB3N07KGD00', '0VB2Q07KGD00VB2R07KFU00', '0VB2Q07KGD00VB3K07KGD00', '0VB2Q07KGD00VB2N07KH200']",[]
0VB7907KI100VB7807KI400,45000,,0VB7807KI40,"102.730476,25.043431;102.730442,25.043598","['0VB7807KI400VB7J07KI500', '0VB7807KI400VB7807KI100']",[]
0VB7H07KIT00VB7U07KI700,44000,,0VB7U07KI70,"102.731306,25.046084;102.731426,25.045877;102.73153,25.045709;102.731617,25.045556;102.731857,25.045132;102.732296,25.044359;102.732532,25.043944","['0VB7U07KI700VB9907KI600', '0VB7U07KI700VB7U07KI100', '0VB7U07KI700VB7807KI500', '0VB7U07KI700VB7F07KJ200', '0VB7U07KI700VB8607KHG00']",[]
0VBA007KGG00VBA707KGG00,45000,0VBA007KGG0,,"102.739213,25.038406;102.739303,25.038397;102.739545,25.038366;102.739706,25.038363;102.739895,25.038435",[],"['0VBAR07KFV00VBA007KGG00', '0VBA707KGG00VBA007KGG00', '0VBAQ07KFU00VBA007KGG00', '0VB9907KI600VBA007KGG00']"
0VB4Q07KJU00VB4U07KK000,44000,0VB4Q07KJU0,,"102.722594,25.049416;102.722738,25.049467;102.722828,25.049504;102.722943,25.049559;102.722949,25.049562",[],"['0VB4K07KJT00VB4Q07KJU01', '0VB4K07KJT00VB4Q07KJU00', '0VB4U07KK000VB4Q07KJU00']"
0VB4L07KHR00VB3R07KHP00,44000,,0VB3R07KHP0,"102.722068,25.042681;102.721579,25.042609;102.721255,25.04259;102.720926,25.042587;102.720434,25.042581;102.71999,25.042573;102.719627,25.042576","['0VB3R07KHP00VB3S07KI600', '0VB3R07KHP00VB3B07KHP00', '0VB3R07KHP00VB4R07KHQ00', '0VB3R07KHP00VB3T07KGD00']",[]
0VB2A07KK300VB3P07KJU00,44000,,0VB3P07KJU0,"102.714709,25.049759;102.715854,25.049634;102.716702,25.049558;102.716746,25.049554;102.7171,25.049529;102.71718,25.049524;102.718727,25.049508;102.718908,25.049504;102.719169,25.049494;102.719384,25.049459","['0VB3P07KJU00VB2A07KK300', '0VB3P07KJU00VB3P07KJ800', '0VB3P07KJU00VB3P07KKM00', '0VB3P07KJU00VB2A07KK200', '0VB3P07KJU00VB4K07KJT00']",[]
0VB7E07KL300VB6B07KK400,44000,,0VB6B07KK40,"102.730925,25.053145;102.730409,25.052656;102.72996,25.052236;102.729561,25.051872;102.729557,25.051868;102.729525,25.051839;102.729501,25.051817;102.728878,25.051244;102.728197,25.050618;102.72802,25.050451;102.727872,25.050324;102.727655,25.050157;102.727548,25.050082;102.727473,25.05004","['0VB6B07KK400VB5O07KJF00', '0VB6B07KK400VB7407KJC00', '0VB6B07KK400VB5L07KKN00', '0VB6B07KK400VB7E07KL300', '0VB6B07KK400VB6207KKC00']",[]
0VB5O07KJ400VB6T07KJ600,44000,0VB5O07KJ40,,"102.725607,25.046795;102.725858,25.046805;102.72624,25.046832;102.726558,25.046844;102.727229,25.046847;102.728359,25.046858;102.728758,25.046861;102.728951,25.046878;102.72912,25.046919;102.72927,25.046997",[],"['0VB5O07KJF00VB5O07KJ400', '0VB5707KJ400VB5O07KJ400', '0VB5N07KHV00VB5O07KJ400', '0VB7407KJC00VB5O07KJ400']"
0VB3V07KF000VB3107KEU00,44000,0VB3V07KF00,,"102.719865,25.033602;102.71924,25.033584;102.717464,25.033534;102.717185,25.033525;102.717038,25.033521;102.716891,25.033515",[],"['0VB3T07KGD00VB3V07KF000', '0VB3707KEU00VB3V07KF000', '0VB4407KDN00VB3V07KF000', '0VB4607KF000VB3V07KF000', '0VB4S07KF000VB3V07KF000']"
0VB3R07KIT00VB3P07KJU00,44000,,0VB3P07KJU0,"102.719489,25.046071;102.719487,25.046898;102.719491,25.047186;102.719497,25.047651;102.719502,25.048568;102.719503,25.048716;102.719515,25.049172;102.719508,25.049433","['0VB3P07KJU00VB2A07KK300', '0VB3P07KJU00VB3P07KJ800', '0VB3P07KJU00VB3P07KKM00', '0VB3P07KJU00VB2A07KK200', '0VB3P07KJU00VB4K07KJT00']",[]
0VB2Q07KGD00VB3K07KGD00,44000,0VB2Q07KGD0,,"102.71626,25.038012;102.71664,25.03801;102.716821,25.038012;102.71697,25.038015;102.717136,25.038018;102.718831,25.038045",[],"['0VB2N07KH200VB2Q07KGD00', '0VB2T07KFO00VB2Q07KGD00', '0VB3N07KGD00VB2Q07KGD00', '0VB3K07KGD00VB2Q07KGD00', '0VB2D07KGC00VB2Q07KGD00']"
0VB3L07KJU00VB3P07KJU00,47000,,0VB3P07KJU0,"102.718898,25.049459;102.719124,25.04945;102.719168,25.049444;102.719306,25.049425;102.719384,25.049459","['0VB3P07KJU00VB2A07KK300', '0VB3P07KJU00VB3P07KJ800', '0VB3P07KJU00VB3P07KKM00', '0VB3P07KJU00VB2A07KK200', '0VB3P07KJU00VB4K07KJT00']",[]
0VB6D07KGF00VB5N07KGE00,44000,,0VB5N07KGE0,"102.727745,25.038287;102.726847,25.038261;102.726738,25.038261;102.726635,25.038261;102.726214,25.038262;102.725588,25.038262","['0VB5N07KGE00VB5N07KHV00', '0VB5N07KGE00VB5307KGE00', '0VB5N07KGE00VB5N07KFT00', '0VB5N07KGE00VB6507KGE00']",[]
0VB7407KGF00VB7407KGD00,47000,0VB7407KGF0,,"102.730062,25.038254;102.730066,25.038057",[],"['0VB7H07KGG00VB7407KGF00', '0VB6J07KGE00VB7407KGF00', '0VB6E07KGE00VB7407KGF00', '0VB7607KGD00VB7407KGF00', '0VB7207KGG00VB7407KGF00']"
0VBAB07KJ600VBA807KJS00,45000,0VBAB07KJ60,,"102.740449,25.047015;102.740451,25.047579;102.740443,25.047839;102.740449,25.047952;102.740403,25.048206;102.740352,25.048432;102.740278,25.048658;102.740214,25.048804;102.740027,25.049113;102.739954,25.049233",[],"['0VBA807KJS00VBAB07KJ600', '0VB9F07KJ600VBAB07KJ600', '0VBAD07KIN00VBAB07KJ600', '0VBB107KJ600VBAB07KJ600']"
0VB7407KGF00VB6D07KGF00,44000,0VB7407KGF0,,"102.729834,25.038336;102.72934,25.038325;102.729249,25.038323;102.728834,25.038314;102.728399,25.038304;102.728279,25.038301;102.727745,25.038287",[],"['0VB7H07KGG00VB7407KGF00', '0VB6J07KGE00VB7407KGF00', '0VB6E07KGE00VB7407KGF00', '0VB7607KGD00VB7407KGF00', '0VB7207KGG00VB7407KGF00']"
